alpha_1,lambda_1,mae_avg,mse_avg,rmse_avg
1e-06,1e-06,0.20169806780974983,0.07058498382014015,0.26432897446220055
1e-06,2.782559402207126e-06,0.20169806846035088,0.07058498617158004,0.26432897831589147
1e-06,7.742636826811277e-06,0.20169807027068662,0.07058499271460332,0.26432898903901747
1e-06,2.1544346900318823e-05,0.2016980753080544,0.07058501092097626,0.2643290188767792
1e-06,5.994842503189409e-05,0.20169808932482916,0.07058506158145805,0.2643291019023243
1e-06,0.0001668100537200059,0.2016981283273435,0.07058520254856064,0.26432933292739735
1e-06,0.00046415888336127773,0.20169823685419858,0.07058559480798034,0.26432997578047535
1e-06,0.0012915496650148827,0.2016985388369422,0.07058668637118296,0.26433176465094266
1e-06,0.003593813663804626,0.20169937912436464,0.07058972431509658,0.2643367430138742
1e-06,0.01,0.20170171729330924,0.07059818225493975,0.2643506012134316
2.782559402207126e-06,1e-06,0.2016980677795817,0.07058498371099028,0.26432897428331537
2.782559402207126e-06,2.782559402207126e-06,0.20169806843018262,0.07058498606243022,0.2643289781370063
2.782559402207126e-06,7.742636826811277e-06,0.20169807024051845,0.07058499260545335,0.26432898886013206
2.782559402207126e-06,2.1544346900318823e-05,0.20169807527788608,0.07058501081182605,0.2643290186978935
2.782559402207126e-06,5.994842503189409e-05,0.20169808929466107,0.07058506147230736,0.26432910172343804
2.782559402207126e-06,0.0001668100537200059,0.2016981282971751,0.07058520243940765,0.26432933274850795
2.782559402207126e-06,0.00046415888336127773,0.2016982368240295,0.07058559469882104,0.26432997560157745
2.782559402207126e-06,0.0012915496650148827,0.20169853880677174,0.07058668626200716,0.2643317644720227
2.782559402207126e-06,0.003593813663804626,0.2016993790941902,0.07058972420587462,0.2643367428348927
2.782559402207126e-06,0.01,0.20170171726312347,0.07059818214558874,0.2643506010342779
7.742636826811277e-06,1e-06,0.20169806769563695,0.07058498340727469,0.264328973785557
7.742636826811277e-06,2.782559402207126e-06,0.20169806834623757,0.07058498575871386,0.2643289776392467
7.742636826811277e-06,7.742636826811277e-06,0.2016980701565736,0.07058499230173704,0.2643289883623726
7.742636826811277e-06,2.1544346900318823e-05,0.201698075193941,0.07058501050810864,0.2643290182001326
7.742636826811277e-06,5.994842503189409e-05,0.2016980892107158,0.07058506116858793,0.26432910122567443
7.742636826811277e-06,0.0001668100537200059,0.20169812821322958,0.07058520213568202,0.26432933225073607
7.742636826811277e-06,0.00046415888336127773,0.20169823674008241,0.07058559439507914,0.2643299751037839
7.742636826811277e-06,0.0012915496650148827,0.20169853872282037,0.07058668595821892,0.26433176397416724
7.742636826811277e-06,0.003593813663804626,0.20169937901022758,0.07058972390195742,0.26433674233686505
7.742636826811277e-06,0.01,0.20170171717912938,0.07059818184131314,0.26435060053577186
2.1544346900318823e-05,1e-06,0.20169806746205513,0.07058498256216679,0.2643289724005128
2.1544346900318823e-05,2.782559402207126e-06,0.20169806811265617,0.07058498491360612,0.26432897625420304
2.1544346900318823e-05,7.742636826811277e-06,0.20169806992299208,0.07058499145662836,0.26432898697732765
