n_neighbors,mae_avg,mse_avg,rmse_avg
1,0.3640140845070422,0.3480669014084507,0.5859276498305739
2,0.3279225352112678,0.2700448943661972,0.5142129772219987
3,0.32117370892018793,0.2364194053208139,0.48226718101913796
4,0.3087323943661972,0.21925308098591562,0.4647551701855659
5,0.3018591549295776,0.2127749295774648,0.4575219782859512
6,0.31107981220657266,0.21938419405320803,0.46538006809620985
7,0.3046378269617705,0.21451070709974113,0.459886211290899
8,0.30559859154929575,0.21419432218309856,0.4593258054316539
9,0.3035524256651018,0.2121133715875502,0.4575590622078666
10,0.3020000000000004,0.20985211267605655,0.45546045212042596
11,0.30240076824583917,0.2100904143871495,0.4557673515196095
12,0.3035211267605639,0.21075508607198778,0.45678046414608736
13,0.30365655471289327,0.20982042253521155,0.4556181202650821
14,0.30492454728370266,0.2086337848519692,0.4545650905191888
15,0.30496244131455447,0.20689854460093918,0.45282061954815067
16,0.30655809859154926,0.2087361355633802,0.45479474619016463
17,0.30670256835128423,0.20834287733320322,0.45419744954975505
18,0.3069483568075116,0.20794716136324096,0.45371930911584724
19,0.3057412898443292,0.20699567906051247,0.45278166127427805
20,0.3080211267605634,0.20756290492957744,0.4534034813818405
21,0.3092723004694834,0.20956468174124093,0.455546328788175
22,0.31116837387964136,0.21089111424746815,0.45704215373069595
23,0.31253521126760564,0.21235850262254038,0.4585568377578701
24,0.31309272300469504,0.21321288145539902,0.459466440406125
25,0.31388450704225374,0.21445261408450716,0.4606939883883884
26,0.31497020585048785,0.21546231456788068,0.46164837452958096
27,0.3156181533646328,0.21622923549527645,0.46235960767004397
28,0.31567907444668053,0.21592407121299256,0.46200487941382695
29,0.31596648858669296,0.21610679355562645,0.4621450066919183
30,0.3170070422535215,0.21683350156494535,0.4629142919288114
