n_neighbors,mae_avg,mse_avg,rmse_avg
1,0.26211267605633803,0.11941549295774664,0.3454025774983496
2,0.23151408450704247,0.09327200704225369,0.30479572709547365
3,0.22051643192488254,0.08364710485133028,0.28799690869432726
4,0.21749999999999997,0.08131250000000002,0.2834029978360588
5,0.2140140845070421,0.07918859154929578,0.2795207669343322
6,0.21110328638497688,0.07694268388106436,0.27502933299640314
7,0.20850100603621763,0.07590349238286878,0.27324211771521584
8,0.2052728873239437,0.07552019146126757,0.2722455537474818
9,0.20492957746478893,0.0750596418014258,0.2713672975792426
10,0.203049295774648,0.07526475352112665,0.2715872982353856
11,0.2035147247119077,0.07482659178209734,0.2710341330549194
12,0.20442488262910802,0.07559839593114229,0.27235167469860533
13,0.20548754062838595,0.07658731977664801,0.27404658449328134
14,0.2043611670020121,0.07678346866915765,0.2742395565421205
15,0.20462910798122094,0.07744287949921749,0.27520365195667645
16,0.20566461267605649,0.07840059694102128,0.27698288864582576
17,0.20586578293289165,0.07867829816267866,0.2774280546739113
18,0.2055712050078248,0.07856403234220148,0.2770737838400151
19,0.2065974796145294,0.07956860832585558,0.27873997820355756
20,0.20747887323943673,0.08061750000000006,0.28054510373331076
21,0.20774312541918194,0.08143127814506096,0.2820984812723715
22,0.20886683738796422,0.08205431556279844,0.2831806905618114
23,0.2092375995101042,0.08283643733858745,0.28450929290458665
24,0.20949823943661974,0.08371898840962451,0.28606936652116277
25,0.2103464788732393,0.08473628732394375,0.28780380661394095
26,0.2107204767063922,0.08532706892241036,0.28861515223017875
27,0.21121022430881586,0.08572693637821453,0.28923675166254614
28,0.21244466800804843,0.08679762503593007,0.2910658056178526
29,0.21276833414278787,0.08768263803989237,0.29255871199191685
30,0.21362676056338045,0.08873346244131476,0.2942902626539132
