gamma_prime,k,mae_avg,mse_avg,rmse_avg
0.01,10,0.3160688006341054,0.23837765547876413,0.48384905167151293
0.01,20,0.3160524327165738,0.23830292688006688,0.48377831910230534
0.01,30,0.31592412143283577,0.23812810406076937,0.4836093696333855
0.01,40,0.3158638347700235,0.23799199195792292,0.4834718740573538
0.01,50,0.31569090810347217,0.2378049038086322,0.48329297298904744
0.01,60,0.315896213958473,0.2377639357957008,0.4832517993382307
0.01,70,0.3155684754197973,0.23754346188712136,0.48304421538718706
0.01,80,0.3156903101593955,0.23739847370984007,0.48289392198365577
0.01,90,0.31557437037836145,0.23740515992690342,0.4829061344732242
0.1,10,0.3165950941389629,0.2358714607069216,0.48158182504604535
0.1,20,0.3171429525162975,0.2345561857096275,0.480335468649013
0.1,30,0.3160443359987546,0.2326329453328082,0.4784601196339688
0.1,40,0.31545366250082724,0.23125140806600072,0.47700126836106627
0.1,50,0.31512406902237006,0.22999476360660842,0.475745453802815
0.1,60,0.3145417335611092,0.22884003936843125,0.47453366768376515
0.1,70,0.3132910202497243,0.22725360979757575,0.47290265270054366
0.1,80,0.3129624655351467,0.2260336987317782,0.47159812268993767
0.1,90,0.31247338782086687,0.22545840915658685,0.4710308265178013
1.0,10,0.3214991151111398,0.23091163536545448,0.47729805288484445
1.0,20,0.3196688072452977,0.22184890577857042,0.4679453933218312
1.0,30,0.3090171561185307,0.2093905134259011,0.45444238645095425
1.0,40,0.3032472379560868,0.20210113228789908,0.4460624451495459
1.0,50,0.30016597751628626,0.1978057072484909,0.4412152915617984
1.0,60,0.29558105437391213,0.19270171475573492,0.43518320073075617
1.0,70,0.2947475499085013,0.1905243888023766,0.43275465199948454
1.0,80,0.2901929869234298,0.18565953266209076,0.42703959721266954
1.0,90,0.2928053161596182,0.18729765531498307,0.42929718132504224
10.0,10,0.3163052028275347,0.22544435911982644,0.4721097226407552
10.0,20,0.31174944680214456,0.21533454358125997,0.4613158096141069
10.0,30,0.3002617691190667,0.2040987668541069,0.44906719725481964
10.0,40,0.29644035688142817,0.19847745028957445,0.4428783395758056
10.0,50,0.2921946839473772,0.19520692853522817,0.4393878985280196
10.0,60,0.291202528871157,0.1953524361924557,0.4395357925900464
10.0,70,0.2870140397110697,0.1899702594060221,0.4336222345486943
10.0,80,0.2844513653629284,0.18862212160503872,0.43197075444751787
10.0,90,0.28448801036954846,0.18740092118436474,0.4307205269987059
100.0,10,0.31445488143803463,0.23556809501709775,0.48092415640574104
100.0,20,0.31270920298639665,0.2327995151298629,0.4782086567225045
100.0,30,0.3034131264290324,0.21758770647525885,0.46259354789347273
100.0,40,0.3022321494428178,0.21542169678711218,0.4603283537087902
100.0,50,0.29746844169473047,0.2068953648914178,0.45174381918072387
100.0,60,0.2975901198126595,0.20648041376699977,0.4514013580211492
100.0,70,0.299641648539995,0.21177337004442887,0.45644019375533623
100.0,80,0.2919595030207475,0.19929953464378025,0.44359121452785855
100.0,90,0.295905328684671,0.20552859787378835,0.4505916369556213
