gamma_prime,k,mae_avg,mse_avg,rmse_avg
0.01,10,0.3097588936913858,0.23519364704555037,0.47948732819749906
0.01,20,0.3093326972253385,0.3275954401163269,0.5384967744123157
0.01,30,0.3069587875996035,0.44854998409921565,0.5882995688934631
0.01,40,0.3016257980150523,0.4479454769222372,0.5816352569799423
0.01,50,0.2996298863843657,0.5749221757622227,0.6224084897497034
0.01,60,0.29702915926092543,0.5981474325864016,0.6253859411037812
0.01,70,0.2910591150835666,0.656287227140645,0.6364681750735751
0.01,80,0.2916637225579491,0.8642462325498013,0.6876202783933197
0.01,90,0.29244799274582534,0.9416314407173711,0.705103087401669
0.1,10,0.23178244864638547,0.10801516880160393,0.3233596905082061
0.1,20,0.22997090363615724,0.10743855422637485,0.32122262783912703
0.1,30,0.23014294408336436,0.10637719364737741,0.3197012543058494
0.1,40,0.22817080598143163,0.10173137116869232,0.3136371112961094
0.1,50,0.2271885742249033,0.0991002555758594,0.31015652739952226
0.1,60,0.22663988112763572,0.09800982796022487,0.30877412886329064
0.1,70,0.22522500062448486,0.0944373510494831,0.3038499671500677
0.1,80,0.2251911373419997,0.09739566626677229,0.3074575349996867
0.1,90,0.22498335459767546,0.09714209250031432,0.30708288289811464
1.0,10,0.2285639011805054,0.09290461338475718,0.3032624424009234
1.0,20,0.21875593434808843,0.08459196796853054,0.2896797065913357
1.0,30,0.20794616431969523,0.0774575314723808,0.27667689404236734
1.0,40,0.20441535092010105,0.07417756921814314,0.27086167893143015
1.0,50,0.20090201807017022,0.07172776470578122,0.26635643204533654
1.0,60,0.19882243643145522,0.07099280755484742,0.2649191646671573
1.0,70,0.19784933069703375,0.06935590192369409,0.26191529247818407
1.0,80,0.19700948277704367,0.06901670847057921,0.2612367229946659
1.0,90,0.19597209732885154,0.06869350048288483,0.2605613560933564
10.0,10,0.24526708990951246,0.12705624544314437,0.3534822362958939
10.0,20,0.23615895671864165,0.11992481523679059,0.3431449434378896
10.0,30,0.22945870704427626,0.11391707971903564,0.334224836371265
10.0,40,0.2246006527484333,0.10924287524271883,0.32758794805683433
10.0,50,0.2235756656819244,0.10675184444969579,0.3238405051141006
10.0,60,0.22432182717699112,0.10954317451422717,0.32798277513318264
10.0,70,0.22018355834489337,0.10481957120939475,0.32072945169230194
10.0,80,0.2202136898991766,0.10210788480458395,0.3165560217698581
10.0,90,0.22266715378273746,0.10440614790867538,0.3202491603797452
100.0,10,0.3131823931284908,0.23491349009680942,0.48015836853973237
100.0,20,0.3122958643322469,0.23404487474356345,0.4791707383582553
100.0,30,0.3119356528936835,0.23351900157106237,0.4786549156573656
100.0,40,0.3117856725479168,0.23324145699053966,0.4784002692487995
100.0,50,0.3122106242064992,0.23373068032650873,0.4789477758139273
100.0,60,0.31220248929436434,0.23384497520061415,0.47897008860178253
100.0,70,0.31146900190345445,0.23271472895042108,0.47792643881199925
100.0,80,0.31180615389787003,0.23283781055221744,0.47804769597772595
100.0,90,0.3122084857626911,0.23344332675455587,0.47865512413918154
