gamma_prime,k,mae_avg,mse_avg,rmse_avg
0.01,10,0.30702458208961037,0.222012353072698,0.4669309633927986
0.01,20,0.3006590998502955,0.2094004765139308,0.453188774496134
0.01,30,0.2940815514603342,0.19616427442912554,0.43873361702896546
0.01,40,0.28663781360921053,0.1836054664649216,0.42470184676789735
0.01,50,0.28004504684960424,0.17168467912878047,0.41102948684013485
0.01,60,0.27504830500533267,0.16297509042477662,0.4005981164551361
0.01,70,0.2722443889262824,0.15793624470978312,0.3945078835630301
0.01,80,0.26407381250033934,0.14554878367719093,0.37864367566403495
0.01,90,0.2638945421834749,0.1436617267978863,0.3761214436924203
0.1,10,0.2173610310814503,0.08242232817739271,0.2857505450127816
0.1,20,0.2149119186569155,0.0790324188419521,0.2799015062269958
0.1,30,0.21479005386423103,0.07807058854145088,0.27823353859849104
0.1,40,0.21395999954276035,0.07699579606388464,0.2764102885983911
0.1,50,0.2135180440357495,0.07644057471557517,0.27547153597474516
0.1,60,0.21347200492105217,0.07634105520637298,0.2753112072349785
0.1,70,0.2130548765382667,0.07594036384007799,0.27458445959010824
0.1,80,0.2126328581290961,0.07556813169801649,0.27396400620625594
0.1,90,0.21211581173715355,0.07532390704503739,0.27348924589099455
1.0,10,0.2183052826766328,0.08337481440121206,0.287474048176683
1.0,20,0.21123635763296048,0.07811763743626914,0.2782317674994174
1.0,30,0.2076776371820909,0.07491387430911464,0.2724227356494467
1.0,40,0.20554419494962844,0.07332398368122019,0.2694602601173711
1.0,50,0.20517019866005942,0.07190492013659198,0.2671075390873753
1.0,60,0.2042810691208131,0.07127192375274569,0.26591143246427784
1.0,70,0.204264598792517,0.07139459660423324,0.26613345993372917
1.0,80,0.2029627882246377,0.07039468153106745,0.2641924941196633
1.0,90,0.20266096459680197,0.0702752621369441,0.2639212618006237
10.0,10,0.21976203181072052,0.09961699371148225,0.3125661663282014
10.0,20,0.21807505312797965,0.09754856948295339,0.3090768089838436
10.0,30,0.2192267548019821,0.0980823086489188,0.3100828753615686
10.0,40,0.2147223339551275,0.09196453629540471,0.30008717091423637
10.0,50,0.21422371312940752,0.0908674627322045,0.2988295800822593
10.0,60,0.2146698695767128,0.09092197293524758,0.2989822036298545
10.0,70,0.21444087202471712,0.09077448725251777,0.29851479844672035
10.0,80,0.2112657831875476,0.0881886089048067,0.29417938532884874
10.0,90,0.21425124642968876,0.09043126053764414,0.29779219101064947
100.0,10,0.2939665643587145,0.2130597636967125,0.457121963471121
100.0,20,0.2930907201655949,0.2120160795525393,0.45622655325750594
100.0,30,0.2949249594923205,0.21374364290621023,0.4580092285032113
100.0,40,0.29276390226920757,0.2097669419606562,0.4537874817042645
100.0,50,0.29338676339467673,0.21027216083802908,0.4544224853870582
100.0,60,0.2931365225144059,0.20851439194423346,0.4523625429188015
100.0,70,0.29122443389886155,0.20749576016515087,0.4511056737342213
100.0,80,0.2894948423835258,0.20557232029464992,0.4491903057212481
100.0,90,0.29360418609443045,0.20984337973252348,0.45384624588870304
