gamma_prime,k,mae_avg,mse_avg,rmse_avg
0.01,10,0.3126341571237719,0.23246807968249844,0.4775832951331078
0.01,20,0.315219064891204,0.2823997948432134,0.5154796582512972
0.01,30,0.31115625621023707,0.2809429342951669,0.5116989512264197
0.01,40,0.31146739398014306,0.35127994281589614,0.5483870245210991
0.01,50,0.3123026880952703,0.5110338353653242,0.6125205447568784
0.01,60,0.31302152691669505,0.6480821831866405,0.6554038885325577
0.01,70,0.3092166480338842,0.6053243437018891,0.6394297638470239
0.01,80,0.31403029021722684,0.868361399168891,0.7119761489285528
0.01,90,0.31287747807631583,0.9533096488936467,0.7309408458504543
0.1,10,0.2357542057722744,0.12864476644483674,0.3471155795085261
0.1,20,0.23416452451064562,0.1476423602038362,0.36037722431600194
0.1,30,0.23292264634023763,0.1364484705517355,0.3496997207628444
0.1,40,0.23221331792401587,0.1408256416066982,0.35218685356959945
0.1,50,0.23163951742396716,0.14169605151155854,0.35219779457586414
0.1,60,0.23143385288278445,0.14206072489444463,0.35218420649888244
0.1,70,0.23022306693528033,0.13272714430912536,0.34411929850976597
0.1,80,0.23021920267238793,0.13872702212759885,0.34884042870429405
0.1,90,0.23021009467267556,0.13376814788935557,0.3448868474378449
1.0,10,0.23241292407959363,0.09471509061715663,0.3064500927973265
1.0,20,0.22553304607990357,0.0891559336698783,0.2974743940317788
1.0,30,0.2170714663775179,0.0825174085607707,0.2859933475730818
1.0,40,0.21220551585226582,0.07918905708358223,0.2801554595211004
1.0,50,0.2078399052967983,0.07575223067250933,0.2740197189803607
1.0,60,0.20524415005844593,0.07420775953240066,0.27116219367738814
1.0,70,0.20373750167657367,0.0722781548750314,0.26778144639828405
1.0,80,0.20161026385734054,0.07268094694449415,0.2681919100051451
1.0,90,0.1987202094989206,0.06960666557204961,0.2626392316560563
10.0,10,0.23815415712504887,0.11597077926348713,0.3376341314763428
10.0,20,0.22798351946232315,0.1072046610806768,0.3240797073171153
10.0,30,0.21911250727067447,0.09912998868742572,0.31134767553407805
10.0,40,0.21822987282418466,0.09908119932020429,0.31201171738913336
10.0,50,0.21684608006895817,0.09567171936882288,0.30630571572534304
10.0,60,0.21521526131294041,0.09377439100459253,0.3032327786255003
10.0,70,0.21320065048127987,0.093356530400447,0.3024755608965014
10.0,80,0.21132842843742417,0.0923342491428551,0.3003602826117366
10.0,90,0.21240479866769296,0.09182607196153929,0.2998552889062706
100.0,10,0.3119775630510963,0.2332820806808614,0.4783986783250043
100.0,20,0.310414789668655,0.23143502334647165,0.4765262196782126
100.0,30,0.30873705052813766,0.23032833066311825,0.4751609997461723
100.0,40,0.3093456503664983,0.23035624684766068,0.47520332013282146
100.0,50,0.30823871712193407,0.2300119473149819,0.4748838371000397
100.0,60,0.308191849358877,0.2299721499783416,0.4747656734695238
100.0,70,0.3069646502179319,0.22879159165151092,0.47354698577519755
100.0,80,0.30741154255153064,0.2288205697361163,0.4735925756512135
100.0,90,0.3078311894798045,0.22973236173975287,0.4744599398831742
