n_estimators,max_depth,mae_avg,mse_avg,rmse_avg
50,5,0.20777480165618828,0.07961100840180796,0.27966808752845335
50,10,0.20170598490752215,0.07367360404975151,0.26959279336594677
50,15,0.2037563346969984,0.07627870357563664,0.2740095378359701
100,5,0.2062596877337874,0.07790466415356659,0.2765006098255856
100,10,0.20237275416473835,0.07514589029676108,0.2720156292560011
100,15,0.2002527394494175,0.07390660205135609,0.26976707535763494
150,5,0.20645257511580067,0.07801657913416575,0.276777562907244
150,10,0.200410680988152,0.07395816069347969,0.2697791990185995
150,15,0.20194961838309805,0.07466118604136723,0.2709895415345411
200,5,0.20614167260784155,0.07837177949688025,0.2773085193759001
200,10,0.2013421188465611,0.07481308341404212,0.27124271094822594
200,15,0.2005098281092365,0.07361886067697875,0.26914450794290234
250,5,0.2051468459988827,0.07712676888544633,0.2751276877065204
250,10,0.20120089231928134,0.07394602067507187,0.2696437254378632
250,15,0.2014625970475786,0.0743189218153327,0.27061234203913587
