n_estimators,max_depth,mae_avg,mse_avg,rmse_avg
50,5,0.2273517612178222,0.11890920604349384,0.33850351699084885
50,10,0.22860562530106548,0.11890914061807538,0.3385478056428639
50,15,0.22835035561656944,0.1263927915007576,0.3497941078677574
100,5,0.23093207418512468,0.12686062653990954,0.35031597091207584
100,10,0.22874858037874324,0.12142649233098161,0.3422272139399164
100,15,0.22766571058809695,0.12062227587066983,0.34236804849452057
150,5,0.22973510634611455,0.12402632085519197,0.3458956219591732
150,10,0.22781164724189584,0.12224053898224271,0.3431310211018311
150,15,0.22729382999174857,0.1220361125784157,0.3427873325711897
200,5,0.23022980512250507,0.12553732044203664,0.3473130794511455
200,10,0.22728206867416034,0.12210570262326899,0.3429832772486619
200,15,0.2266138284284167,0.12134332695508668,0.3418303900796873
250,5,0.22975913478777343,0.1252083163961261,0.3471823736330482
250,10,0.22747031000357082,0.12282101060691157,0.34415447690935536
250,15,0.22754818196109367,0.12330525991675265,0.34460860633502366
