n_estimators,max_depth,mae_avg,mse_avg,rmse_avg
50,5,0.1980601982132705,0.06639874979490702,0.256573155145403
50,10,0.20121629296274102,0.068273390242219,0.26045130207253464
50,15,0.20258587738634257,0.06855630717724207,0.26078338118964306
100,5,0.19740598412358942,0.0659679923636592,0.2557133045060534
100,10,0.2003504146954314,0.06794139965762408,0.25978831623818327
100,15,0.20405013002922648,0.06884609953247531,0.26153606685365
150,5,0.19757168170096678,0.06652143631916281,0.25682884680109724
150,10,0.19979720323716849,0.06724137833433166,0.2582351358356024
150,15,0.20244142700441384,0.06879104782983339,0.26142798774571985
200,5,0.1960408048049242,0.06534322417866259,0.2545169249087418
200,10,0.19995113359566533,0.06707093352083257,0.25809314774218667
200,15,0.20224896025078198,0.0680374808150034,0.25993824632628443
250,5,0.19695480671110105,0.06591573324934914,0.25553752186204326
250,10,0.2013713330870023,0.0674885386613089,0.25877324320978357
250,15,0.2003808806095262,0.06720495750767431,0.25818059105751606
