n_estimators,max_depth,mae_avg,mse_avg,rmse_avg
50,5,0.19643546281049443,0.06650728109389585,0.2567476257897642
50,10,0.19591562840740812,0.06546692149951638,0.2550343994800355
50,15,0.19586125140437885,0.0652075996215601,0.25451897391535194
100,5,0.196973386877322,0.0669439022416708,0.2577578056078414
100,10,0.19594781842633804,0.06621249504825082,0.25649712050898155
100,15,0.19533287305756103,0.06508233569841353,0.2541937590193072
150,5,0.19531376415793603,0.0656012855343032,0.25499066117605995
150,10,0.19510653092776206,0.06471965096664085,0.25346497983161637
150,15,0.19482193558265673,0.0652021606706495,0.25455975897758165
200,5,0.1955857032705926,0.06579564942354123,0.2553471953496291
200,10,0.1944557700107233,0.06515805842554248,0.2543893267183434
200,15,0.1942857112940281,0.06460874492723502,0.25328500978875024
250,5,0.19615191105905977,0.0659615905609949,0.2557533680761362
250,10,0.19495137126386203,0.06529706228294276,0.2546459254619322
250,15,0.19481567757314525,0.06486894673932267,0.2538646695240234
